NODE_EXECUTION_FINISHED, task 1, sequence 1, node 1, job 10, at cycle: 1447302.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 2, job 10, at cycle: 1447317.000000
NODE_EXECUTION_STARTED, task 1, sequence 2, node 3, job 10, at cycle: 1447336.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 4, job 10, at cycle: 1447343.000000
NODE_EXECUTION_FINISHED, task 1, sequence 2, node 3, job 10, at cycle: 1447423.000000
SEQUENCE_TERMINATED, task 1, sequence 2, before node 5, job 10, at cycle: 1447425.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 2, job 10, at cycle: 1447442.000000
SEQUENCE_TERMINATED, task 1, sequence 1, before node 5, job 10, at cycle: 1447444.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 4, job 10, at cycle: 1447469.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 5, job 10, at cycle: 1447477.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 6, job 10, at cycle: 1447501.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 5, job 10, at cycle: 1447562.000000
SEQUENCE_TERMINATED, task 1, sequence 3, before node 7, job 10, at cycle: 1447564.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 6, job 10, at cycle: 1447626.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 7, job 10, at cycle: 1447630.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 7, job 10, at cycle: 1447714.000000
NEW_JOB_RELEASED, task 1, job 11, at cycle: 1564114.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 1, job 11, at cycle: 1564204.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 1, job 11, at cycle: 1564291.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 2, job 11, at cycle: 1564305.000000
NODE_EXECUTION_STARTED, task 1, sequence 2, node 3, job 11, at cycle: 1564324.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 4, job 11, at cycle: 1564330.000000
NODE_EXECUTION_FINISHED, task 1, sequence 2, node 3, job 11, at cycle: 1564409.000000
SEQUENCE_TERMINATED, task 1, sequence 2, before node 5, job 11, at cycle: 1564411.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 2, job 11, at cycle: 1564431.000000
SEQUENCE_TERMINATED, task 1, sequence 1, before node 5, job 11, at cycle: 1564433.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 4, job 11, at cycle: 1564456.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 5, job 11, at cycle: 1564499.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 6, job 11, at cycle: 1564523.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 5, job 11, at cycle: 1564598.000000
SEQUENCE_TERMINATED, task 1, sequence 3, before node 7, job 11, at cycle: 1564600.000000
NEW_JOB_RELEASED, task 2, job 6, at cycle: 1564644.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 6, job 11, at cycle: 1564648.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 7, job 11, at cycle: 1564650.000000
NODE_EXECUTION_STARTED, task 2, sequence 1, node 1, job 6, at cycle: 1564718.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 7, job 11, at cycle: 1564734.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 1, job 6, at cycle: 1564803.000000
NODE_EXECUTION_STARTED, task 2, sequence 1, node 2, job 6, at cycle: 1564817.000000
NODE_EXECUTION_STARTED, task 2, sequence 2, node 3, job 6, at cycle: 1564836.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 4, job 6, at cycle: 1564843.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 2, job 6, at cycle: 1564901.000000
SEQUENCE_TERMINATED, task 2, sequence 1, before node 5, job 6, at cycle: 1564903.000000
NODE_EXECUTION_FINISHED, task 2, sequence 2, node 3, job 6, at cycle: 1564921.000000
SEQUENCE_TERMINATED, task 2, sequence 2, before node 5, job 6, at cycle: 1564923.000000
NODE_EXECUTION_FINISHED, task 2, sequence 3, node 4, job 6, at cycle: 1564928.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 5, job 6, at cycle: 1564930.000000
NODE_EXECUTION_FINISHED, task 2, sequence 3, node 5, job 6, at cycle: 1565014.000000
NEW_JOB_RELEASED, task 1, job 12, at cycle: 1681114.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 1, job 12, at cycle: 1681203.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 1, job 12, at cycle: 1681288.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 2, job 12, at cycle: 1681302.000000
NODE_EXECUTION_STARTED, task 1, sequence 2, node 3, job 12, at cycle: 1681321.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 4, job 12, at cycle: 1681328.000000
NODE_EXECUTION_FINISHED, task 1, sequence 2, node 3, job 12, at cycle: 1681406.000000
SEQUENCE_TERMINATED, task 1, sequence 2, before node 5, job 12, at cycle: 1681408.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 2, job 12, at cycle: 1681428.000000
SEQUENCE_TERMINATED, task 1, sequence 1, before node 5, job 12, at cycle: 1681430.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 4, job 12, at cycle: 1681455.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 5, job 12, at cycle: 1681463.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 6, job 12, at cycle: 1681487.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 5, job 12, at cycle: 1681548.000000
SEQUENCE_TERMINATED, task 1, sequence 3, before node 7, job 12, at cycle: 1681550.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 6, job 12, at cycle: 1681612.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 7, job 12, at cycle: 1681614.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 7, job 12, at cycle: 1681698.000000
NEW_JOB_RELEASED, task 2, job 7, at cycle: 1779223.000000
NODE_EXECUTION_STARTED, task 2, sequence 1, node 1, job 7, at cycle: 1779312.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 1, job 7, at cycle: 1779401.000000
NODE_EXECUTION_STARTED, task 2, sequence 1, node 2, job 7, at cycle: 1779415.000000
NODE_EXECUTION_STARTED, task 2, sequence 2, node 3, job 7, at cycle: 1779432.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 4, job 7, at cycle: 1779441.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 2, job 7, at cycle: 1779501.000000
SEQUENCE_TERMINATED, task 2, sequence 1, before node 5, job 7, at cycle: 1779503.000000
NODE_EXECUTION_FINISHED, task 2, sequence 2, node 3, job 7, at cycle: 1779516.000000
